CUST_TYPE,C_FIRST_NM,C_MDL_NM,C_LAST_NM,C_GENDER,C_BIRTHDT,C_AGE,C_MARITAL,C_INCOME,C_SRC_CHNL,C_PREF_CHNL,C_CUST_STATUS,C_CUST_LFCYCL,C_EMP_STATUS,C_CRD_RTNG,C_ORG,C_OWN,C_ANN_REV,C_CITY,C_POSTAL,C_STATE,C_COUNTRY,CUST_CODE,C_INCOMEGRP
Individual,Rajesh,Raghunath,Sardesa,Male,07-Apr-65,40,Single,374166.9578,Direct Mailer,Web,Active,Mature,Employed,2,Super Bakers (India) Limited,,1202133.092,Ahmedabad,215008,Gujarat,India,823,"3,00,000PA to 4,00,000PA"
Corporate,Suranjana,,Gangopadhyay,Male,04-Nov-71,34,Married,173386.8702,Direct Mailer,Web,Active,Attrition,Unemployed,4,Archies Limited,,1327194.1,Mangalore,130040,Karnataka,India,824,"1,00,000PA to 2,00,000PA"
NRI,Vimal,,Venkatram,Female,27-Sep-69,36,Single,178371.658,Direct Mailer,Web,Inactive,Acquired,Employed,7,Madan Financial Services Limited,,1368332.23,Pune,200097,Maharashtra,India,825,"1,00,000PA to 2,00,000PA"
Corporate,Sailee,Sanjeev,Kambli,Male,19-Jul-72,33,Single,321659.5345,Direct Mailer,Web,Dormant,Prospect,Employed,4,Tokyo Plast International Limited,,1185127.758,Pune,200098,Maharashtra,India,826,"3,00,000PA to 4,00,000PA"
Individual,Atul,Kumar,Singhi,Male,11-Dec-70,35,Single,288561.282,Direct Mailer,Web,Active,Mature,Employed,7,Add-Life Pharma Limited,,1306948.2,Ahmedabad,215008,Gujarat,India,827,"2,00,000PA to 3,00,000PA"
NRI,Azadi,Lalit,Shah,Male,23-Feb-71,34,Married,489100.9657,SMS,Telephone,Inactive,Acquired,Self Employed,9,Nihar Info Global Limited,Private,1104550.179,Mumbai,400001,Maharashtra,India,828,"4,00,000PA to 5,00,000PA"
Individual,J,B,Lal,Male,12-Jun-78,27,Single,241954.5824,Direct Mailer,Web,Active,Mature,Employed,9,Indbank Merchant Banking Services Limited,,1461929.561,Ahmedabad,215008,Gujarat,India,829,"2,00,000PA to 3,00,000PA"
Corporate,Jigna,Ajay,Naik,Female,05-Jul-76,29,Single,206005.2855,Direct Mailer,Web,Active,Mature,Employed,6,·Consolidated Containers,,1352111.785,Mysore,110009,Karnataka,India,830,"2,00,000PA to 3,00,000PA"
NRI,Anushree,Madan,Mohan,Male,06-Aug-71,34,Single,303474.3487,Direct Mailer,Web,Inactive,Acquired,Employed,5,Ras Extrusions Limited,,1105163.718,Baroda,213050,Gujarat,India,831,"3,00,000PA to 4,00,000PA"
Corporate,Radha,Arjun,Bajaj,Male,25-Jun-76,29,Married,424437.4664,Direct Mailer,Web,Active,Attrition,Unemployed,2,Devki Leasing & Finance Limited,,1262435.406,Mumbai,400007,Maharashtra,India,832,"4,00,000PA to 5,00,000PA"
Individual,Vivek,Jagannath,Pandit,Male,06-Nov-71,34,Single,406965.5353,Direct Mailer,Web,Dormant,Prospect,Employed,4,·BPL,,1110671.755,Mumbai,400052,Maharashtra,India,833,"4,00,000PA to 5,00,000PA"
NRI,Rekha,Rajendra,Mandolkar,Male,07-Jun-70,35,Single,228933.3862,SMS,Telephone,Inactive,Acquired,Employed,6,Kesar Petroproducts Limited,,1244111.753,Surat,210012,Gujarat,India,834,"2,00,000PA to 3,00,000PA"
Individual,Ramavtar,,Sharma,Female,18-Jul-68,37,Single,148809.1708,Direct Mailer,Web,Active,Mature,Employed,5,Alfa Transformers Limited,,1141108.415,Surat,210030,Gujarat,India,835,"1,00,000PA to 2,00,000PA"
Corporate,Rajendra,Bhalchandra,Akl,Male,31-Dec-78,27,Married,144933.0878,Direct Mailer,Web,Active,Mature,Unemployed,2,Orchid Chemicals & Pharmaceuticals Limited,,1446372.369,Bangalore,110007,Karnataka,India,836,"1,00,000PA to 2,00,000PA"
NRI,Goutam,Bibhashchandra,Ra,Male,28-Jan-79,26,Single,119176.3751,Direct Mailer,Web,Inactive,Acquired,Self Employed,6,Soma Papers & Industries Limited,Public,1363866.55,Mysore,130010,Karnataka,India,837,"1,00,000PA to 2,00,000PA"
Corporate,Poonam,Tejas,Shah,Male,30-Jan-71,34,Single,409639.4853,Direct Mailer,Web,Active,Mature,Employed,6,Senbo Industries Limited,,1464259.801,Ahmedabad,215001,Gujarat,India,838,"4,00,000PA to 5,00,000PA"
Individual,Farshuram,Ranchhodji,Des,Male,11-May-73,32,Single,134970.1692,Direct Mailer,Web,Active,Mature,Employed,8,Model Financial Corporation Limited,,1274543.145,Ahmedabad,215008,Gujarat,India,839,"1,00,000PA to 2,00,000PA"
NRI,Gitadevi,Mukutlal,Gupta,Female,30-Dec-72,33,Married,457498.7985,Email,SMS,Dormant,Attrition,Unemployed,2,Exide Industries Limited,,1214206.923,Pune,200097,Maharashtra,India,840,"4,00,000PA to 5,00,000PA"
Individual,Nimisha,,Mantri,Male,26-Jan-75,30,Single,464114.9387,Direct Mailer,Web,Active,Mature,Employed,7,Jyoti Structures Limited,,1135015.52,Ahmedabad,215008,Gujarat,India,841,"4,00,000PA to 5,00,000PA"
Corporate,Surekha,,Wagh,Male,10-Jan-78,27,Single,422170.6552,Direct Mailer,Web,Active,Mature,Employed,1,Consortex Karl Doelitzch (India) Limited,,1049364.802,Ahmedabad,215001,Gujarat,India,842,"4,00,000PA to 5,00,000PA"
NRI,Nirmal,Manoj,Mathew,Male,24-Nov-67,38,Single,114825.8675,Direct Mailer,Web,Inactive,Acquired,Employed,5,·Coromandel Pharmaceuticals Ltd,,1008632.844,Baroda,213050,Gujarat,India,843,"1,00,000PA to 2,00,000PA"
Corporate,Keshao,Kumar,Bhoyar,Male,03-Oct-78,27,Married,166466.7029,Direct Mailer,Web,Active,Mature,Unemployed,9,·Coromandel Pharmaceuticals Ltd,,1157976.955,Baroda,213013,Gujarat,India,844,"1,00,000PA to 2,00,000PA"
Individual,Premchand,,Ahuja,Female,22-Dec-72,33,Single,216224.584,Direct Mailer,Web,Active,Mature,Employed,2,Tax I-NIT 96,,1110940.524,Pune,200009,Maharashtra,India,845,"2,00,000PA to 3,00,000PA"
NRI,Meluveetil,,Unnikrishnan,Male,16-Aug-65,40,Single,303158.9764,SMS,Telephone,Inactive,Acquired,Self Employed,3,Milestone Organic Limited,Private,1437600.509,Mumbai,400001,Maharashtra,India,846,"3,00,000PA to 4,00,000PA"
Individual,Kewal,K,Kakar,Male,30-Jun-65,40,Single,466279.9919,Direct Mailer,Web,Dormant,Prospect,Employed,6,·Brothers Computers & Software (I) Ltd,,1423511.564,Bangalore,110007,Karnataka,India,847,"4,00,000PA to 5,00,000PA"
Corporate,Vasant,Premji,Thakker,Male,27-Aug-72,33,Married,427687.552,Direct Mailer,Web,Active,Attrition,Unemployed,2,Modern Terry Towels Limited,,1040970.221,Mumbai,400007,Maharashtra,India,848,"4,00,000PA to 5,00,000PA"
NRI,Kabita,,Agarwal,Male,22-Apr-68,37,Single,498829.093,Direct Mailer,Web,Inactive,Acquired,Employed,9,Mastek Limited,,1133659.63,Baroda,213050,Gujarat,India,849,"4,00,000PA to 5,00,000PA"
Corporate,Lavina,,Dcosta,Female,25-Oct-68,37,Single,252317.1431,Direct Mailer,Web,Active,Mature,Employed,5,K R B L Limited,,1321661.277,Mumbai,400052,Maharashtra,India,850,"2,00,000PA to 3,00,000PA"
Individual,Surabhi,,Agrawal,Male,31-Jan-79,26,Single,132175.8978,Direct Mailer,Web,Active,Mature,Employed,9,Shimoga Technologies Limited,,1285442.527,Ahmedabad,215008,Gujarat,India,851,"1,00,000PA to 2,00,000PA"
NRI,Navnit,,Loyalka,Male,14-Apr-78,27,Married,442970.8294,SMS,Telephone,Inactive,Acquired,Unemployed,4,M J Pharmaceuticals Limited,,1483565.764,Bangalore,110001,Karnataka,India,852,"4,00,000PA to 5,00,000PA"
Individual,Pradeep,,Anand,Male,12-Mar-68,37,Single,472365.6509,Direct Mailer,Web,Active,Mature,Employed,1,Asean Industrial Structures Limited,,1117306.805,Ahmedabad,215008,Gujarat,India,853,"4,00,000PA to 5,00,000PA"
Corporate,Lalit,,Bokadia,Male,29-May-78,27,Single,300186.9896,Direct Mailer,Web,Dormant,Prospect,Employed,3,Dredging Corporation Of India Limited,,1452848.638,Pune,200098,Maharashtra,India,854,"3,00,000PA to 4,00,000PA"
NRI,Varuna,Kakar,Minor,Female,05-Dec-73,32,Single,314650.0426,Direct Mailer,Web,Inactive,Acquired,Self Employed,9,·Bridge Securities,Public,1368807.887,Pune,200097,Maharashtra,India,855,"3,00,000PA to 4,00,000PA"
Corporate,Bhavin,,Mehta,Male,25-Dec-77,28,Married,214390.7143,Direct Mailer,Web,Active,Attrition,Unemployed,7,Rajendra Mechanical Industries Limited,,1462327.519,Mangalore,130040,Karnataka,India,856,"2,00,000PA to 3,00,000PA"
Individual,Munira,,Mahableshwarwala,Male,07-Jan-78,27,Single,148880.3208,Direct Mailer,Web,Active,Mature,Employed,5,Kakatiya Textiles Limited,,1209579.158,Ahmedabad,215008,Gujarat,India,857,"1,00,000PA to 2,00,000PA"
NRI,Niranjana,,Mehta,Male,07-Jan-68,37,Single,441841.4539,SMS,Telephone,Inactive,Acquired,Employed,4,S R G Infotec Limited,,1479260.766,Pune,200009,Maharashtra,India,858,"4,00,000PA to 5,00,000PA"
Individual,Akhilesh,Kumar,Jha,Male,14-Apr-75,30,Single,266360.0852,Direct Mailer,Web,Active,Mature,Employed,2,Khaitan Weaving Mills Limited,,1464361.111,Ahmedabad,215008,Gujarat,India,859,"2,00,000PA to 3,00,000PA"
Corporate,A,C,Sharma,Female,24-Jun-71,34,Married,204734.3789,Direct Mailer,Web,Active,Mature,Unemployed,4,Interlink Petroleum Limited,,1474588.8,Mysore,110009,Karnataka,India,860,"2,00,000PA to 3,00,000PA"
NRI,Rajlaxmi,,Sharma,Male,24-Apr-77,28,Single,187832.369,Direct Mailer,Web,Dormant,Prospect,Employed,7,Jagson Airlines Limited,,1066306.306,Mangalore,130009,Karnataka,India,861,"1,00,000PA to 2,00,000PA"
Corporate,Villoo,,Mistry,Male,05-Apr-69,36,Single,233140.2051,Direct Mailer,Web,Active,Mature,Employed,4,Paschim Petrochem Limited,,1159524.225,Ahmedabad,215001,Gujarat,India,862,"2,00,000PA to 3,00,000PA"
Individual,Sunita,,Mody,Male,09-Dec-76,29,Single,239782.0116,Direct Mailer,Web,Active,Mature,Employed,8,Galaxy Agrico Exports Limited,,1478114.699,Ahmedabad,215008,Gujarat,India,863,"2,00,000PA to 3,00,000PA"
NRI,Savitri,,Mody,Male,01-May-75,30,Married,164761.1812,SMS,Telephone,Inactive,Attrition,Self Employed,3,Garg Furnace Limited,Private,1181416.879,Mumbai,400001,Maharashtra,India,864,"1,00,000PA to 2,00,000PA"
Individual,Kamla,Purshotam,Murjani,Female,08-Jul-73,32,Single,407245.6516,Direct Mailer,Web,Active,Mature,Employed,2,Rolta India Limited,,1440601.032,Surat,210030,Gujarat,India,865,"4,00,000PA to 5,00,000PA"
Corporate,Rajendra,Prasad,Shilpkar,Male,23-Aug-78,27,Single,374989.5198,Direct Mailer,Web,Active,Mature,Employed,6,Ramkrishna Forgings Limited,,1293382.348,Ahmedabad,215001,Gujarat,India,866,"3,00,000PA to 4,00,000PA"
NRI,Anoop,,Juneja,Male,14-Oct-80,25,Single,359283.2632,Direct Mailer,Web,Inactive,Acquired,Employed,2,·Bervin Investment and Leasing,,1075418.371,Mumbai,400052,Maharashtra,India,867,"3,00,000PA to 4,00,000PA"
Corporate,Nimesh,,Chheda,Male,11-Oct-75,30,Married,137104.4666,Direct Mailer,Web,Dormant,Prospect,Unemployed,6,Cummins India Limited,,1158428.059,Pune,200098,Maharashtra,India,868,"1,00,000PA to 2,00,000PA"
Individual,Ketan,Bharat,Shah,Male,24-Sep-80,25,Single,129189.1148,Direct Mailer,Web,Active,Mature,Employed,8,Jagson Airlines Limited,,1392222.307,Bangalore,110007,Karnataka,India,869,"1,00,000PA to 2,00,000PA"
NRI,Vatsal,,Shah,Female,28-Mar-70,35,Single,416662.3257,Fax,Direct Mailer,Inactive,Acquired,Employed,2,Supriya Pharmaceuticals Limited,,1118798.314,Pune,200097,Maharashtra,India,870,"4,00,000PA to 5,00,000PA"
Individual,Sudhir,B,Shah,Male,08-Jan-76,29,Single,272182.2285,Direct Mailer,Web,Active,Mature,Employed,4,Kemicare Products Limited,,1215329.819,Pune,200009,Maharashtra,India,871,"2,00,000PA to 3,00,000PA"
Corporate,Neena,,Singh,Male,18-Nov-70,35,Married,172806.8119,Direct Mailer,Web,Active,Attrition,Unemployed,5,·Carewell Hygiene Products Ltd,,1434486.435,Mangalore,130040,Karnataka,India,872,"1,00,000PA to 2,00,000PA"
NRI,Fredoon,,Chiniwala,Male,29-Jan-80,25,Single,267856.7021,Direct Mailer,Web,Inactive,Acquired,Self Employed,8,Swaraj Engines Limited,Public,1265028.187,Mysore,130010,Karnataka,India,873,"2,00,000PA to 3,00,000PA"
Corporate,Dolat,,Chiniwala,Male,10-Jun-65,40,Single,179624.7604,Direct Mailer,Web,Active,Mature,Employed,6,Intra Infotech Limited,,1252914.204,Ahmedabad,215001,Gujarat,India,874,"1,00,000PA to 2,00,000PA"
Individual,Sanjeev,,Punja,Female,21-May-66,39,Single,104421.9092,Direct Mailer,Web,Dormant,Prospect,Employed,4,·Clutch Auto,,1341213.722,Mangalore,130009,Karnataka,India,875,"1,00,000PA to 2,00,000PA"
NRI,Renuka,,Dudhawat,Male,01-Aug-76,29,Married,119868.8524,SMS,Telephone,Inactive,Acquired,Unemployed,9,PH Trading Limited,,1392702.815,Bangalore,110001,Karnataka,India,876,"1,00,000PA to 2,00,000PA"
Individual,Atul,B,Jain,Male,05-Dec-72,33,Single,413835.7468,Direct Mailer,Web,Active,Mature,Employed,7,Natura Hue Chem Limited,,1230051.703,Ahmedabad,215008,Gujarat,India,877,"4,00,000PA to 5,00,000PA"
Corporate,Ajay,Jagdish,Saboo,Male,11-Dec-73,32,Single,354560.0039,Direct Mailer,Web,Active,Mature,Employed,5,Oriental Bank Of Commerce,,1041728.804,Ahmedabad,215001,Gujarat,India,878,"3,00,000PA to 4,00,000PA"
NRI,Fatima,Ibrahim,Badani,Male,05-Nov-72,33,Single,225965.6499,Direct Mailer,Web,Inactive,Acquired,Employed,6,Emami Limited,,1126721.714,Baroda,213050,Gujarat,India,879,"2,00,000PA to 3,00,000PA"
Corporate,Shreelekha,,Gopal,Female,02-Jun-70,35,Married,335516.5574,Direct Mailer,Web,Active,Attrition,Unemployed,1,Rajratan Gustav Wolf Limited,,1296280.43,Mumbai,400007,Maharashtra,India,880,"3,00,000PA to 4,00,000PA"
Individual,Dina,,Ajani,Male,06-Oct-68,37,Single,101432.7135,Direct Mailer,Web,Active,Mature,Employed,5,·Burr-Brown (India),,1172581.864,Ahmedabad,215008,Gujarat,India,881,"1,00,000PA to 2,00,000PA"
NRI,Uday,J,Meisheri,Male,29-Nov-66,39,Single,165493.5865,SMS,Telephone,Dormant,Prospect,Self Employed,2,M J Pharmaceuticals Limited,Private,1150622.988,Mumbai,400001,Maharashtra,India,882,"1,00,000PA to 2,00,000PA"
Individual,Kinjal,,Solanky,Male,10-Aug-78,27,Single,389998.7928,Direct Mailer,Web,Active,Mature,Employed,5,Triveni Engineering & Industries Limited,,1281531.904,Ahmedabad,215008,Gujarat,India,883,"3,00,000PA to 4,00,000PA"
Corporate,Nirmala,,Kathuria,Male,03-Sep-77,28,Married,257485.1162,Direct Mailer,Web,Active,Mature,Unemployed,5,D C L Finance Limited,,1073846.899,Mumbai,400052,Maharashtra,India,884,"2,00,000PA to 3,00,000PA"
NRI,Manoj,,Acchapalia,Female,06-Jun-72,33,Single,182910.8846,Direct Mailer,Web,Inactive,Acquired,Employed,5,Kothari Sugars & Chemicals,,1183679.618,Pune,200097,Maharashtra,India,885,"1,00,000PA to 2,00,000PA"
Corporate,Gautam,,Khanna,Male,27-Jul-65,40,Single,493474.1648,Direct Mailer,Web,Active,Mature,Employed,1,·Blossom Breweries,,1118152.69,Ahmedabad,215001,Gujarat,India,886,"4,00,000PA to 5,00,000PA"
Individual,Mohammed,S,Merchant,Male,27-Oct-75,30,Single,437169.7666,Direct Mailer,Web,Active,Mature,Employed,3,Gyan Developers & Builders Limited,,1114805.149,Ahmedabad,215008,Gujarat,India,887,"4,00,000PA to 5,00,000PA"
NRI,Suresh,Chand,Pandey,Male,31-Dec-72,33,Married,159829.0632,SMS,Telephone,Inactive,Attrition,Unemployed,1,Nilkamal Plastics Limited,,1140671.339,Bangalore,110001,Karnataka,India,888,"1,00,000PA to 2,00,000PA"
Individual,Vinayak,M,Wagh,Male,16-May-66,39,Single,136320.1823,Direct Mailer,Web,Dormant,Prospect,Employed,5,Acknit Knitting Limited,,1246755.24,Mangalore,130009,Karnataka,India,889,"1,00,000PA to 2,00,000PA"
Corporate,Avaneesh,Kumar,Pandey,Female,27-Oct-77,28,Single,414502.1522,Direct Mailer,Web,Active,Mature,Employed,1,Milestone Organic Limited,,1166452.101,Mysore,110009,Karnataka,India,890,"4,00,000PA to 5,00,000PA"
NRI,Deepak,,Tripathi,Male,24-Aug-73,32,Single,126427.0112,Direct Mailer,Web,Inactive,Acquired,Self Employed,1,Sri Chakra Remedies Limited,Public,1408711.602,Bangalore,110007,Karnataka,India,891,"1,00,000PA to 2,00,000PA"
Corporate,Oliver,P,D,Male,15-Sep-78,27,Married,342472.6376,Direct Mailer,Web,Active,Mature,Unemployed,4,Punsumi India Limited,,1486291.925,Baroda,213013,Gujarat,India,892,"3,00,000PA to 4,00,000PA"
Individual,Deepam,,Thanawala,Male,12-Aug-78,27,Single,420874.6334,Direct Mailer,Web,Active,Mature,Employed,1,Modern Terry Towels Limited,,1425126.086,Ahmedabad,215008,Gujarat,India,893,"4,00,000PA to 5,00,000PA"
NRI,Badra,Sabiha,Ishaq,Male,17-Jun-66,39,Single,153958.0761,SMS,Telephone,Inactive,Acquired,Employed,1,Suvarna Aqua Farm & Exports Limited,,1174042.361,Surat,210012,Gujarat,India,894,"1,00,000PA to 2,00,000PA"
Individual,Mohammad,,Mahableshwarwal,Female,22-Jan-65,40,Single,422344.0282,Direct Mailer,Web,Active,Mature,Employed,6,Sree Meenakshi Mills Limited,,1485424.746,Surat,210030,Gujarat,India,895,"4,00,000PA to 5,00,000PA"
Corporate,Ashok,,Gupta,Male,14-Oct-73,32,Married,164986.7149,Direct Mailer,Web,Dormant,Attrition,Unemployed,8,Dharani Finance Limited,,1181290.214,Mumbai,400007,Maharashtra,India,896,"1,00,000PA to 2,00,000PA"
NRI,Lalitha,,Luke,Male,26-Oct-80,25,Single,128687.5768,Direct Mailer,Web,Inactive,Acquired,Employed,1,Nilkamal Plastics Limited,,1480190.581,Pune,200009,Maharashtra,India,897,"1,00,000PA to 2,00,000PA"
Corporate,Gita,Krishna,Murthy,Male,02-Jun-67,38,Single,242640.8238,Direct Mailer,Web,Active,Mature,Employed,4,Delco Remy Electricals India Limited,,1392548.299,Ahmedabad,215001,Gujarat,India,898,"2,00,000PA to 3,00,000PA"
Individual,Ganesha,,Pradhan,Male,08-Aug-78,27,Single,465451.5177,Direct Mailer,Web,Active,Mature,Employed,2,J K Udaipur Udyog Limited,,1101862.961,Ahmedabad,215008,Gujarat,India,899,"4,00,000PA to 5,00,000PA"
NRI,Arif,,,Female,31-Jan-70,35,Married,283019.67,Email,SMS,Inactive,Acquired,Self Employed,2,Etiam Technologies Limited,Private,1395293.335,Mumbai,400001,Maharashtra,India,900,"2,00,000PA to 3,00,000PA"
Individual,Mittal,,Rakesh,Male,16-Jul-73,32,Single,305726.8917,Direct Mailer,Web,Active,Mature,Employed,2,Eicher Limited,,1491778.614,Mumbai,400052,Maharashtra,India,901,"3,00,000PA to 4,00,000PA"
Corporate,V,,Balasubramanian,Male,26-Aug-80,25,Single,115467.73,Direct Mailer,Web,Active,Mature,Employed,8,Rane Brake Linings Limited,,1458222.75,Bangalore,110007,Karnataka,India,902,"1,00,000PA to 2,00,000PA"
NRI,Savita,,Degvekar,Male,13-May-68,37,Single,175113.6959,Direct Mailer,Web,Dormant,Prospect,Employed,7,·Brothers Computers & Software (I) Ltd,,1027487.432,Mangalore,130009,Karnataka,India,903,"1,00,000PA to 2,00,000PA"
Corporate,Feroz,Kassamali,Merchant,Male,19-May-79,26,Married,424919.9504,Direct Mailer,Web,Active,Attrition,Unemployed,3,Exide Industries Limited,,1385957.224,Mangalore,130040,Karnataka,India,904,"4,00,000PA to 5,00,000PA"
Individual,Sehra,Hasan,Mutabanna,Female,21-Aug-80,25,Single,208570.0296,Direct Mailer,Web,Active,Mature,Employed,3,·Banswara Syntex,,1393368.128,Surat,210030,Gujarat,India,905,"2,00,000PA to 3,00,000PA"
NRI,Anuj,D,Goradia,Male,04-Jan-65,40,Single,357561.5985,SMS,Telephone,Inactive,Acquired,Employed,4,Onida Finance Limited,,1413177.565,Surat,210012,Gujarat,India,906,"3,00,000PA to 4,00,000PA"
Individual,Deepak,,Goradia,Male,28-Sep-73,32,Single,267710.0263,Direct Mailer,Web,Active,Mature,Employed,9,Kakatiya Textiles Limited,,1002328.514,Ahmedabad,215008,Gujarat,India,907,"2,00,000PA to 3,00,000PA"
Corporate,Dosti,,Associates,Male,01-Feb-73,32,Married,329531.9242,Direct Mailer,Web,Active,Mature,Unemployed,6,·Bharat Hotels,,1463277.789,Baroda,213013,Gujarat,India,908,"3,00,000PA to 4,00,000PA"
NRI,Khayber,Properties,Inv,Male,01-Jun-73,32,Single,480411.2587,Direct Mailer,Web,Inactive,Acquired,Self Employed,6,Penta Pharmadyes Limited,Public,1413402.972,Mysore,130010,Karnataka,India,909,"4,00,000PA to 5,00,000PA"
Corporate,Mona,,Bhatia,Female,24-Sep-80,25,Single,260639.6048,Direct Mailer,Web,Dormant,Prospect,Employed,6,Infotrek Syscom Limited,,1142163.822,Pune,200098,Maharashtra,India,910,"2,00,000PA to 3,00,000PA"
Individual,Gautam,,Thakar,Male,08-Aug-77,28,Single,390920.4732,Direct Mailer,Web,Active,Mature,Employed,9,Perfect Pack Limited,,1001829.316,Ahmedabad,215008,Gujarat,India,911,"3,00,000PA to 4,00,000PA"
NRI,Rupen,Mahesh,Ranpura,Male,22-Dec-71,34,Married,288173.5007,SMS,Telephone,Inactive,Attrition,Unemployed,1,Natura Hue Chem Limited,,1489356.597,Mumbai,400007,Maharashtra,India,912,"2,00,000PA to 3,00,000PA"
Individual,T,,Raghunandan,Male,23-Sep-73,32,Single,169231.3541,Direct Mailer,Web,Active,Mature,Employed,4,Madan Financial Services Limited,,1305322.384,Bangalore,110007,Karnataka,India,913,"1,00,000PA to 2,00,000PA"
Corporate,Durriya,Saifuddin,Mercha,Male,07-Nov-75,30,Single,183641.2548,Direct Mailer,Web,Active,Mature,Employed,4,Etiam Technologies Limited,,1383355.768,Ahmedabad,215001,Gujarat,India,914,"1,00,000PA to 2,00,000PA"
NRI,Krishnakumar,,Malarampath,Female,16-Jan-77,28,Single,115812.1556,Direct Mailer,Web,Inactive,Acquired,Employed,9,Oxemberg Apparels Limited,,1138305.194,Pune,200097,Maharashtra,India,915,"1,00,000PA to 2,00,000PA"
Corporate,Satish,Jagannath,Shetty,Male,06-May-65,40,Married,243942.4814,Direct Mailer,Web,Active,Mature,Unemployed,4,J M Tax Cover 98 Dividend,,1314352.376,Baroda,213013,Gujarat,India,916,"2,00,000PA to 3,00,000PA"
Individual,Annappa,Ramanna,Shetty,Male,30-Jul-76,29,Single,191309.3517,Direct Mailer,Web,Dormant,Prospect,Employed,4,Pantaloon Retail (India) Limited,,1310314.61,Mangalore,130009,Karnataka,India,917,"1,00,000PA to 2,00,000PA"
NRI,Annamma,,George,Male,12-May-72,33,Single,416850.1271,SMS,Telephone,Inactive,Acquired,Self Employed,6,·Coromandel Pharmaceuticals Ltd,Private,1297542.981,Mumbai,400001,Maharashtra,India,918,"4,00,000PA to 5,00,000PA"
Individual,Jyotiprakash,,Mandal,Male,27-Aug-79,26,Single,150576.4989,Direct Mailer,Web,Active,Mature,Employed,9,·Belwal Spinning Mills Ltd,,1232366.354,Ahmedabad,215008,Gujarat,India,919,"1,00,000PA to 2,00,000PA"
Corporate,Nagabhushana,Rao,Vaddi,Female,05-Sep-65,40,Married,139864.3924,Direct Mailer,Web,Active,Attrition,Unemployed,9,·BALCO,,1474660.949,Mysore,110009,Karnataka,India,920,"1,00,000PA to 2,00,000PA"
NRI,Bhavna,Vinodchandra,Shah,Male,16-Mar-80,25,Single,370432.2591,Direct Mailer,Web,Inactive,Acquired,Employed,4,·Cyanamid Agro,,1287316.977,Baroda,213050,Gujarat,India,921,"3,00,000PA to 4,00,000PA"
Corporate,Mable,,Monteiro,Male,17-May-65,40,Single,157064.5636,Direct Mailer,Web,Active,Mature,Employed,4,Dot Com Global Limited,,1381179.433,Ahmedabad,215001,Gujarat,India,922,"1,00,000PA to 2,00,000PA"
Individual,Sharadchandra,,Ramchandra,Male,02-Oct-67,38,Single,392716.2457,Direct Mailer,Web,Active,Mature,Employed,8,Shubham Industries Limited,,1319076.549,Pune,200009,Maharashtra,India,923,"3,00,000PA to 4,00,000PA"
NRI,Rameshchandra,,Satyanarai,Male,21-Apr-77,28,Married,462734.789,SMS,Telephone,Dormant,Prospect,Unemployed,3,A R I Consolidated Investments Limited,,1416579.113,Pune,200098,Maharashtra,India,924,"4,00,000PA to 5,00,000PA"
Individual,N,,Narsimhan,Female,22-Dec-73,32,Single,131558.5844,Direct Mailer,Web,Active,Mature,Employed,7,S V C Superchem Limited,,1021840.629,Surat,210030,Gujarat,India,925,"1,00,000PA to 2,00,000PA"
Corporate,Ravindra,S,Borwankar,Male,12-Jul-69,36,Single,239049.7724,Direct Mailer,Web,Active,Mature,Employed,2,Electrotherm (India) Limited,,1179282.003,Ahmedabad,215001,Gujarat,India,926,"2,00,000PA to 3,00,000PA"
NRI,Ivor,,Fonseca,Male,19-Apr-77,28,Single,176652.9525,Direct Mailer,Web,Inactive,Acquired,Self Employed,2,Girdharilal Sugar & Allied Industries Limited,Public,1163687.519,Mysore,130010,Karnataka,India,927,"1,00,000PA to 2,00,000PA"
Corporate,Prakash,Ranjeetmal,Tatia,Male,03-Sep-76,29,Married,252403.7995,Direct Mailer,Web,Active,Attrition,Unemployed,1,·Balwant Textiles Mills Ltd,,1015397.763,Mumbai,400007,Maharashtra,India,928,"2,00,000PA to 3,00,000PA"
Individual,Anupam,,Desai,Male,21-Aug-70,35,Single,408674.311,Direct Mailer,Web,Active,Mature,Employed,8,Hatsun Agro Product Limited,,1492058.719,Ahmedabad,215008,Gujarat,India,929,"4,00,000PA to 5,00,000PA"
NRI,Vinit,Chandra,Gupta,Female,13-Mar-71,34,Single,156350.2353,Fax,Direct Mailer,Inactive,Acquired,Employed,8,Hitachi Home and Life Solutions (India) Limited,,1184065.784,Pune,200097,Maharashtra,India,930,"1,00,000PA to 2,00,000PA"
Individual,Rameshchandra,,Ramshiroma,Male,30-Sep-65,40,Single,256923.5974,Direct Mailer,Web,Dormant,Prospect,Employed,2,Innovative Marine Foods Limited,,1272739.477,Mangalore,130009,Karnataka,India,931,"2,00,000PA to 3,00,000PA"
Corporate,Pranay,Prasad,Chandran,Male,26-Dec-67,38,Married,224180.7689,Direct Mailer,Web,Active,Mature,Unemployed,3,Heruk Agro Foods Limited,,1290832.733,Baroda,213013,Gujarat,India,932,"2,00,000PA to 3,00,000PA"
NRI,Rekha,Padmanabha,Uchil,Male,10-Apr-80,25,Single,287493.3516,Direct Mailer,Web,Inactive,Acquired,Employed,4,Surat Electricity Company Limited,,1148938.932,Baroda,213050,Gujarat,India,933,"2,00,000PA to 3,00,000PA"
